,count,mean,std,min,25%,50%,75%,max
a,200.0,0.49624962142392093,0.2944900607110589,0.007877905904284277,0.24815216137291307,0.4671766092936826,0.7766313530906694,0.9969458901018028
b,200.0,0.4893359279506067,0.28640038026832304,0.006769812880293435,0.2684353629568134,0.45168760777613665,0.7277244026446121,0.9995307970319209
c,200.0,0.5195422241582915,0.28972058847538534,0.0007434686132166135,0.28068006399308976,0.5086624000387636,0.7657304821880931,0.9995345359932772
d,200.0,0.4767335455215562,0.2920446320985487,0.001784461742455723,0.22415904888218297,0.4625731261530356,0.718615070459722,0.999079412640284
e,200.0,0.49872223882354844,0.28769743353105365,0.0005342791127125324,0.2605727433553542,0.5542056359283395,0.7405694331140527,0.9898223367872587
f,200.0,0.4947414039190997,0.2895889279713824,0.007132765910174421,0.2246802594389628,0.4858053196047483,0.7673909282564684,0.9967674657766539
g,200.0,0.5143556870956526,0.283682013495787,0.013401873861552116,0.26600923098442675,0.5315894177256142,0.7537630293075978,0.989831701198759
h,200.0,0.5403236101626856,0.29890593731581205,0.0031493442921112225,0.2994710432882608,0.5679557044534107,0.8160449962288675,0.9994650469528588
i,200.0,0.49125212369788807,0.2850023633022294,0.0019188948413937368,0.27660161342991874,0.4745340605841224,0.7553460017134589,0.9988039961134821
j,200.0,0.4687002812301328,0.2994689434843284,0.0024381844806504738,0.19721267437696652,0.45801098541830987,0.7394620491958975,0.9984604585474985
k,200.0,0.5160141320371904,0.27253219575441284,0.008854140784346876,0.3138755338226094,0.5326197533557784,0.7495815272983619,0.9899076838828679
l,200.0,0.47212533916622024,0.27627542077631934,0.010329886154546997,0.23072766528936825,0.4715709849596487,0.6913227833173661,0.994305801734258
m,200.0,0.48172837942412294,0.2807651988300967,0.0017029812023424684,0.23930652430955796,0.47617654085116523,0.6936348669162014,0.9989834656655524
n,200.0,0.5101509907216097,0.27528140132332285,0.005281815508433763,0.2906360639342725,0.48613668348758543,0.7515073835763653,0.9920364655102462
o,200.0,0.4792855093512186,0.2853860091746138,0.0018559031130854775,0.23944945245964872,0.4875260521714224,0.7005154804816862,0.9928590652877413
p,200.0,0.4967154687208254,0.29325097462004107,0.005004832494419853,0.22747459356916683,0.5102606828887758,0.7498628627023589,0.9930856681135513
q,200.0,0.503102778792636,0.3038344756191729,0.001320621544943501,0.23098492662836498,0.5016341068883856,0.7786708035937371,0.9994863275655741
r,200.0,0.4937176223134584,0.30606676311374775,0.01179780865161928,0.23810485524376285,0.4939247272292032,0.756883422469276,0.9988618527364419
s,200.0,0.48345481156974607,0.29882913939492034,0.0024075339247957572,0.20152315372330257,0.4919149843372691,0.746116532959411,0.9953237975498852
t,200.0,0.4706648355408079,0.2783292294708674,0.0017859009997983621,0.25254286306591356,0.4531488876986136,0.6842021901913455,0.9893277569480591
u,200.0,0.5269003017337608,0.2787244519818016,0.0042574581102617914,0.30573284387873867,0.5109636365247463,0.7524201233086708,0.9941751322189961
v,200.0,0.5112714866998573,0.286649805987142,0.012071178659312953,0.28183774526184147,0.4940901456311946,0.7678684029338434,0.9996287009700857
w,200.0,0.46281242568451225,0.30132831823290734,0.0017220474064633118,0.18483791572137193,0.4575680648814906,0.7071180640390511,0.9929324731713517
x,200.0,0.5082891143213573,0.29682086086260245,0.0011879176664684188,0.2552246240060596,0.4971070125134519,0.7547530584044142,0.9917455203382627
y,200.0,0.49939452444444526,0.27837697632385094,0.00594125493544273,0.2742373132811957,0.47828488144155945,0.7370468790114775,0.9978612614886868
